name,country,year,description,url,kinopoisk,wiki,pic,original
Четыре ночи мечтателя,"Франция, Италия",1971,фильм Робера Брессона по мотивам повести Достоевского «Белые ночи»,http://film46.zogonka.org/video/12012-1_chetyre-nochi-mechtatelya-1971-online.html,https://www.kinopoisk.ru/film/100607/,,https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/040da3da-03aa-459f-bf3b-5d3d824bf172/600x900,Белые ночи
Возлюбленная,Индия,2007,фильм Санджея Лила Бхансалиа по мотивам повести Достоевского «Белые ночи»,http://film46.zogonka.org/video/36935-vozlyublennaya-2007-online.html,https://www.kinopoisk.ru/film/263315/,"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B7%D0%BB%D1%8E%D0%B1%D0%BB%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2007)",https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/9f2f1c1d-4f9b-437f-803a-42ce2424c4b7/300x450,Белые ночи
Бесы,Франция,1988,фильм Анджея Вайды,https://adult.noodlemagazine.com/watch/65023081_156089762,https://www.kinopoisk.ru/film/10286/,,https://fs.kinomania.ru/file/film/1/dd/1dd7a395671097926acc59543bef384c.jpeg,Бесы
Бесы,Россия,1992,фильм Игоря и Дмитрия Таланкиных,https://cccp-film.ru/video/sovetskie-filmy/besy-1992.html,https://www.kinopoisk.ru/film/41496/,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%81%D1%8B_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1992)",https://upload.wikimedia.org/wikipedia/ru/5/5b/%D0%91%D0%B5%D1%81%D1%8B%D0%9F%D0%BE%D1%81%D1%82%D0%B5%D1%801992.jpg,Бесы
Преступление и наказание,Франция,1956,фильм Жоржа Лампена,https://my.mail.ru/mail/armbruster.a3/video/_myvideo/2077.html,https://www.kinopoisk.ru/film/158905/,"https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B5%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B8_%D0%BD%D0%B0%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1956)",https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/4dedc74f-07f8-44e1-ad16-5118fa3857c0/1920x,Преступление и наказание
Идиот / L’Idiot,Франция,1946,фильм Жоржа Лампена,https://my.mail.ru/mail/barakin.oleg/video/211/11754.html,https://www.kinopoisk.ru/film/142551/,"https://ru.wikipedia.org/wiki/%D0%98%D0%B4%D0%B8%D0%BE%D1%82_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1946)",https://s3.afisha.ru/mediastorage/ba/2e/6388c71dbba74e15919d824b2eba.jpg,Идиот
Бесы,Россия,2006,фильм Феликса Шультесса,https://my.mail.ru/mail/blogi93-67/video/18,https://www.kinopoisk.ru/series/280169/,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%81%D1%8B_(%D1%82%D0%B5%D0%BB%D0%B5%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB,_2006)",https://upload.wikimedia.org/wikipedia/ru/thumb/8/87/%D0%91%D0%B5%D1%81%D1%8B_%D0%BF%D0%BE%D1%81%D1%82%D0%B5%D1%80_2006.jpeg/266px-%D0%91%D0%B5%D1%81%D1%8B_%D0%BF%D0%BE%D1%81%D1%82%D0%B5%D1%80_2006.jpeg,Бесы
Мёртвый дом (тюрьма народов),СССР,1931,фильм Василия Фёдорова,https://my.mail.ru/mail/golowina/video/5924/8365.html,,https://ru.wikipedia.org/wiki/%D0%9C%D1%91%D1%80%D1%82%D0%B2%D1%8B%D0%B9_%D0%B4%D0%BE%D0%BC,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/1932_%D0%9C%D0%B5%D1%80%D1%82%D0%B2%D1%8B%D0%B9_%D0%B4%D0%BE%D0%BC%2C_%D0%A2%D1%8E%D1%80%D1%8C%D0%BC%D0%B0_%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BE%D0%B2.webm/640px--1932_%D0%9C%D0%B5%D1%80%D1%82%D0%B2%D1%8B%D0%B9_%D0%B4%D0%BE%D0%BC%2C_%D0%A2%D1%8E%D1%80%D1%8C%D0%BC%D0%B0_%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BE%D0%B2.webm.jpg,Записки из Мертвого дома
Раскольников / нем. Raskolnikow (1923),Германия,1923,фильм Роберта Вине,https://my.mail.ru/mail/lixvin/video/13811/13849.html,https://www.kinopoisk.ru/film/222478/,,https://www.kino-teatr.ru/movie/kadr/9821/pv_468432.jpg,Преступление и наказание
Игрок / фр. Le Joueur,"Франция, Италия",1958,фильм Клода Отан-Лары,https://my.mail.ru/mail/ruzanovlev/video/_myvideo/1781.html,https://www.kinopoisk.ru/film/161056/,,https://avatars.mds.yandex.net/get-kinopoisk-image/1900788/5282a4c2-9bdd-4d49-8377-14b5e386dc45/600x900,Игрок
